expense_id,group_id,payer_id,participants,amount,currency,merchant,category,timestamp,num_participants,is_fraud
exp_3625,group_77,user_257,"[{'user_id': 'user_257', 'amount': np.float64(15.22)}, {'user_id': 'user_208', 'amount': np.float64(11.21)}]",26.43,USD,Restaurant ABC,travel,2025-01-30T11:21:00,2,0
exp_4236,group_45,user_801,"[{'user_id': 'user_801', 'amount': np.float64(2.36)}, {'user_id': 'user_976', 'amount': np.float64(1.51)}, {'user_id': 'user_179', 'amount': np.float64(1.64)}]",5.51,USD,Taxi Service PQR,entertainment,2025-02-12T17:48:00,3,0
exp_9005,group_64,user_975,"[{'user_id': 'user_975', 'amount': np.float64(14.44)}, {'user_id': 'user_356', 'amount': np.float64(26.11)}, {'user_id': 'user_821', 'amount': np.float64(25.6)}]",66.15,USD,Hotel JKL,transport,2024-09-29T15:01:00,3,0
exp_5924,group_45,user_374,"[{'user_id': 'user_374', 'amount': np.float64(6.66)}, {'user_id': 'user_838', 'amount': np.float64(6.17)}]",12.83,USD,Restaurant ABC,travel,2025-04-01T15:56:00,2,0
exp_3093,group_10,user_968,"[{'user_id': 'user_968', 'amount': np.float64(15.82)}, {'user_id': 'user_590', 'amount': np.float64(10.93)}, {'user_id': 'user_320', 'amount': np.float64(13.74)}]",40.49,USD,Coffee Shop DEF,groceries,2025-05-26T13:02:00,3,0
exp_7590,group_40,user_13,"[{'user_id': 'user_13', 'amount': np.float64(9.09)}, {'user_id': 'user_59', 'amount': np.float64(6.75)}]",15.84,EUR,Online Store GHI,shopping,2025-06-19T22:53:00,2,0
exp_4736,group_75,user_714,"[{'user_id': 'user_714', 'amount': np.float64(2.73)}, {'user_id': 'user_600', 'amount': np.float64(2.27)}]",5.0,USD,Clothing Store YZ,utilities,2025-03-17T11:19:00,2,0
exp_4366,group_56,user_5,"[{'user_id': 'user_5', 'amount': np.float64(1.24)}, {'user_id': 'user_762', 'amount': np.float64(1.16)}, {'user_id': 'user_893', 'amount': np.float64(1.42)}, {'user_id': 'user_287', 'amount': np.float64(1.18)}]",5.0,USD,Online Store GHI,healthcare,2025-04-23T10:59:00,4,0
exp_4056,group_50,user_492,"[{'user_id': 'user_492', 'amount': np.float64(9.84)}, {'user_id': 'user_89', 'amount': np.float64(7.45)}]",17.29,USD,Taxi Service PQR,healthcare,2024-12-31T15:06:00,2,0
exp_4178,group_58,user_970,"[{'user_id': 'user_970', 'amount': np.float64(2.92)}, {'user_id': 'user_246', 'amount': np.float64(3.65)}, {'user_id': 'user_272', 'amount': np.float64(4.3)}]",10.87,AUD,Grocery Store XYZ,healthcare,2025-02-12T21:20:00,3,0
exp_1287,group_16,user_119,"[{'user_id': 'user_119', 'amount': np.float64(9.07)}, {'user_id': 'user_870', 'amount': np.float64(7.05)}]",16.12,GBP,Electronics Store VWX,accommodation,2025-08-27T20:44:00,2,0
exp_8343,group_26,user_180,"[{'user_id': 'user_180', 'amount': np.float64(193.07)}, {'user_id': 'user_48', 'amount': np.float64(138.64)}]",331.71,GBP,Airline MNO,accommodation,2025-02-01T16:21:00,2,0
exp_4623,group_69,user_790,"[{'user_id': 'user_790', 'amount': np.float64(15.2)}, {'user_id': 'user_227', 'amount': np.float64(15.32)}, {'user_id': 'user_733', 'amount': np.float64(17.88)}]",48.4,AUD,Grocery Store XYZ,groceries,2025-09-15T16:01:00,3,0
exp_2066,group_25,user_403,"[{'user_id': 'user_403', 'amount': np.float64(2.45)}, {'user_id': 'user_627', 'amount': np.float64(2.53)}, {'user_id': 'user_617', 'amount': np.float64(2.36)}]",7.34,USD,Coffee Shop DEF,healthcare,2024-10-18T13:16:00,3,0
exp_9099,group_37,user_847,"[{'user_id': 'user_847', 'amount': np.float64(9.12)}, {'user_id': 'user_189', 'amount': np.float64(9.36)}, {'user_id': 'user_91', 'amount': np.float64(8.68)}]",27.16,USD,Clothing Store YZ,transport,2025-06-14T18:26:00,3,0
exp_5950,group_65,user_70,"[{'user_id': 'user_70', 'amount': np.float64(38.14)}, {'user_id': 'user_893', 'amount': np.float64(49.45)}]",87.59,USD,Pharmacy STU,healthcare,2025-05-28T15:49:00,2,0
exp_1547,group_82,user_326,"[{'user_id': 'user_326', 'amount': np.float64(3.59)}, {'user_id': 'user_259', 'amount': np.float64(3.55)}, {'user_id': 'user_75', 'amount': np.float64(3.58)}]",10.72,AUD,Coffee Shop DEF,accommodation,2024-11-07T16:31:00,3,0
exp_7599,group_45,user_381,"[{'user_id': 'user_381', 'amount': np.float64(38.04)}, {'user_id': 'user_964', 'amount': np.float64(34.15)}]",72.19,EUR,Clothing Store YZ,shopping,2024-12-05T16:33:00,2,0
exp_313,group_22,user_490,"[{'user_id': 'user_490', 'amount': np.float64(3.16)}, {'user_id': 'user_106', 'amount': np.float64(4.1)}]",7.26,EUR,Grocery Store XYZ,transport,2025-03-23T13:08:00,2,0
exp_8321,group_2,user_829,"[{'user_id': 'user_829', 'amount': np.float64(31.99)}, {'user_id': 'user_804', 'amount': np.float64(23.75)}]",55.74,USD,Pharmacy STU,healthcare,2024-12-29T14:59:00,2,0
exp_3916,group_85,user_831,"[{'user_id': 'user_831', 'amount': np.float64(39.48)}, {'user_id': 'user_428', 'amount': np.float64(29.38)}]",68.86,USD,Grocery Store XYZ,transport,2025-01-04T21:49:00,2,0
exp_5943,group_54,user_455,"[{'user_id': 'user_455', 'amount': np.float64(4.84)}, {'user_id': 'user_273', 'amount': np.float64(3.6)}]",8.44,AUD,Pharmacy STU,accommodation,2024-12-02T07:24:00,2,0
exp_3162,group_80,user_473,"[{'user_id': 'user_473', 'amount': np.float64(10.79)}, {'user_id': 'user_960', 'amount': np.float64(13.51)}]",24.3,USD,Hotel JKL,utilities,2025-03-01T08:49:00,2,0
exp_2010,group_27,user_861,"[{'user_id': 'user_861', 'amount': np.float64(20.18)}, {'user_id': 'user_269', 'amount': np.float64(25.4)}, {'user_id': 'user_915', 'amount': np.float64(19.23)}]",64.81,AUD,Gas Station 123,travel,2025-02-07T15:32:00,3,0
exp_7296,group_18,user_453,"[{'user_id': 'user_453', 'amount': np.float64(74.38)}, {'user_id': 'user_92', 'amount': np.float64(74.67)}]",149.05,USD,Taxi Service PQR,accommodation,2024-11-20T15:45:00,2,0
exp_4163,group_49,user_112,"[{'user_id': 'user_112', 'amount': np.float64(11.07)}, {'user_id': 'user_137', 'amount': np.float64(13.16)}, {'user_id': 'user_647', 'amount': np.float64(9.5)}]",33.73,USD,Online Store GHI,groceries,2025-06-19T14:42:00,3,0
exp_8426,group_81,user_646,"[{'user_id': 'user_646', 'amount': np.float64(14.54)}, {'user_id': 'user_538', 'amount': np.float64(12.7)}]",27.24,GBP,Restaurant ABC,entertainment,2025-07-16T17:18:00,2,0
exp_4080,group_58,user_717,"[{'user_id': 'user_717', 'amount': np.float64(10.0)}, {'user_id': 'user_325', 'amount': np.float64(14.6)}]",24.6,EUR,Taxi Service PQR,entertainment,2025-05-21T11:41:00,2,0
exp_4026,group_48,user_241,"[{'user_id': 'user_241', 'amount': np.float64(38.91)}, {'user_id': 'user_321', 'amount': np.float64(34.93)}]",73.84,USD,Gas Station 123,shopping,2024-11-07T21:37:00,2,0
exp_2345,group_71,user_317,"[{'user_id': 'user_317', 'amount': np.float64(2.08)}, {'user_id': 'user_491', 'amount': np.float64(2.92)}]",5.0,USD,Pharmacy STU,business,2024-11-07T08:19:00,2,0
exp_324,group_49,user_946,"[{'user_id': 'user_946', 'amount': np.float64(12.66)}, {'user_id': 'user_493', 'amount': np.float64(10.6)}, {'user_id': 'user_822', 'amount': np.float64(12.92)}, {'user_id': 'user_945', 'amount': np.float64(9.54)}]",45.72,USD,Grocery Store XYZ,shopping,2025-05-08T13:23:00,4,0
exp_2733,group_98,user_341,"[{'user_id': 'user_341', 'amount': np.float64(13.06)}, {'user_id': 'user_243', 'amount': np.float64(17.34)}]",30.4,USD,Pharmacy STU,healthcare,2025-03-25T13:19:00,2,0
exp_704,group_83,user_545,"[{'user_id': 'user_545', 'amount': np.float64(19.04)}, {'user_id': 'user_815', 'amount': np.float64(12.79)}, {'user_id': 'user_705', 'amount': np.float64(13.83)}]",45.66,USD,Restaurant ABC,transport,2024-12-08T09:56:00,3,0
exp_5877,group_79,user_35,"[{'user_id': 'user_35', 'amount': np.float64(37.89)}, {'user_id': 'user_141', 'amount': np.float64(47.09)}, {'user_id': 'user_206', 'amount': np.float64(61.31)}, {'user_id': 'user_134', 'amount': np.float64(58.27)}]",204.56,USD,Grocery Store XYZ,transport,2024-12-04T16:52:00,4,0
exp_7875,group_57,user_23,"[{'user_id': 'user_23', 'amount': np.float64(1.45)}, {'user_id': 'user_143', 'amount': np.float64(1.21)}, {'user_id': 'user_988', 'amount': np.float64(1.49)}, {'user_id': 'user_729', 'amount': np.float64(1.61)}]",5.76,USD,Taxi Service PQR,shopping,2025-01-27T04:04:00,4,0
exp_1651,group_88,user_982,"[{'user_id': 'user_982', 'amount': np.float64(37.4)}, {'user_id': 'user_296', 'amount': np.float64(45.0)}]",82.4,USD,Taxi Service PQR,transport,2025-02-22T15:03:00,2,0
exp_585,group_30,user_149,"[{'user_id': 'user_149', 'amount': np.float64(4.72)}, {'user_id': 'user_895', 'amount': np.float64(5.8)}]",10.52,USD,Taxi Service PQR,accommodation,2025-06-28T13:00:00,2,0
exp_4625,group_32,user_686,"[{'user_id': 'user_686', 'amount': np.float64(13.67)}, {'user_id': 'user_344', 'amount': np.float64(19.97)}]",33.64,USD,Hotel JKL,food,2025-03-01T06:46:00,2,0
exp_3939,group_21,user_711,"[{'user_id': 'user_711', 'amount': np.float64(5.26)}, {'user_id': 'user_638', 'amount': np.float64(4.02)}]",9.28,USD,Clothing Store YZ,utilities,2024-12-06T13:55:00,2,0
exp_1603,group_62,user_50,"[{'user_id': 'user_50', 'amount': np.float64(8.35)}, {'user_id': 'user_821', 'amount': np.float64(9.42)}, {'user_id': 'user_988', 'amount': np.float64(6.95)}]",24.72,AUD,Clothing Store YZ,business,2025-01-25T17:32:00,3,0
exp_5581,group_2,user_673,"[{'user_id': 'user_673', 'amount': np.float64(5.18)}, {'user_id': 'user_749', 'amount': np.float64(4.22)}, {'user_id': 'user_999', 'amount': np.float64(5.79)}]",15.19,USD,Coffee Shop DEF,travel,2025-01-18T12:17:00,3,0
exp_5459,group_17,user_409,"[{'user_id': 'user_409', 'amount': np.float64(9.73)}, {'user_id': 'user_893', 'amount': np.float64(12.4)}]",22.13,USD,Coffee Shop DEF,healthcare,2024-12-17T18:23:00,2,0
exp_4165,group_71,user_791,"[{'user_id': 'user_791', 'amount': np.float64(7.43)}, {'user_id': 'user_205', 'amount': np.float64(10.29)}]",17.72,USD,Pharmacy STU,travel,2025-05-01T23:12:00,2,0
exp_7796,group_81,user_321,"[{'user_id': 'user_321', 'amount': np.float64(5.47)}, {'user_id': 'user_490', 'amount': np.float64(4.87)}, {'user_id': 'user_865', 'amount': np.float64(6.16)}]",16.5,GBP,Hotel JKL,utilities,2025-03-15T07:48:00,3,0
exp_5112,group_87,user_884,"[{'user_id': 'user_884', 'amount': np.float64(12.08)}, {'user_id': 'user_556', 'amount': np.float64(17.14)}]",29.22,USD,Coffee Shop DEF,groceries,2024-11-22T07:30:00,2,0
exp_6700,group_11,user_852,"[{'user_id': 'user_852', 'amount': np.float64(20.55)}, {'user_id': 'user_775', 'amount': np.float64(14.25)}, {'user_id': 'user_339', 'amount': np.float64(16.8)}]",51.6,USD,Airline MNO,business,2024-10-27T16:01:00,3,0
exp_4531,group_78,user_246,"[{'user_id': 'user_246', 'amount': np.float64(51.69)}, {'user_id': 'user_773', 'amount': np.float64(52.0)}, {'user_id': 'user_621', 'amount': np.float64(60.91)}]",164.6,EUR,Restaurant ABC,shopping,2025-09-07T22:28:00,3,0
exp_9223,group_99,user_499,"[{'user_id': 'user_499', 'amount': np.float64(24.04)}, {'user_id': 'user_314', 'amount': np.float64(21.5)}]",45.54,USD,Electronics Store VWX,entertainment,2025-09-12T19:42:00,2,0
exp_1241,group_76,user_90,"[{'user_id': 'user_90', 'amount': np.float64(7.21)}, {'user_id': 'user_171', 'amount': np.float64(7.14)}]",14.35,USD,Restaurant ABC,shopping,2025-01-27T07:34:00,2,0
exp_5250,group_75,user_1000,"[{'user_id': 'user_1000', 'amount': np.float64(2.89)}, {'user_id': 'user_869', 'amount': np.float64(4.21)}]",7.1,USD,Gas Station 123,accommodation,2025-04-23T12:17:00,2,0
exp_5045,group_58,user_595,"[{'user_id': 'user_595', 'amount': np.float64(21.46)}, {'user_id': 'user_348', 'amount': np.float64(18.57)}]",40.03,CAD,Gas Station 123,healthcare,2025-05-04T18:37:00,2,0
exp_147,group_8,user_110,"[{'user_id': 'user_110', 'amount': np.float64(13.05)}, {'user_id': 'user_238', 'amount': np.float64(19.14)}, {'user_id': 'user_899', 'amount': np.float64(14.36)}, {'user_id': 'user_902', 'amount': np.float64(19.5)}]",66.05,USD,Coffee Shop DEF,travel,2024-10-18T16:33:00,4,0
exp_2263,group_18,user_446,"[{'user_id': 'user_446', 'amount': np.float64(7.8)}, {'user_id': 'user_600', 'amount': np.float64(7.8)}]",15.6,USD,Grocery Store XYZ,entertainment,2025-02-06T18:38:00,2,0
exp_5451,group_32,user_589,"[{'user_id': 'user_589', 'amount': np.float64(2.58)}, {'user_id': 'user_999', 'amount': np.float64(2.42)}]",5.0,USD,Grocery Store XYZ,entertainment,2025-09-05T14:00:00,2,0
exp_5346,group_79,user_644,"[{'user_id': 'user_644', 'amount': np.float64(5.84)}, {'user_id': 'user_459', 'amount': np.float64(6.94)}, {'user_id': 'user_136', 'amount': np.float64(6.94)}, {'user_id': 'user_442', 'amount': np.float64(5.24)}]",24.96,USD,Grocery Store XYZ,food,2024-10-03T06:01:00,4,0
exp_4259,group_50,user_203,"[{'user_id': 'user_203', 'amount': np.float64(54.7)}, {'user_id': 'user_742', 'amount': np.float64(51.52)}]",106.22,USD,Taxi Service PQR,utilities,2025-09-17T16:03:00,2,0
exp_5360,group_37,user_366,"[{'user_id': 'user_366', 'amount': np.float64(3.28)}, {'user_id': 'user_957', 'amount': np.float64(3.83)}, {'user_id': 'user_968', 'amount': np.float64(2.63)}]",9.74,USD,Electronics Store VWX,business,2024-12-15T19:48:00,3,0
exp_1721,group_47,user_49,"[{'user_id': 'user_49', 'amount': np.float64(2.1)}, {'user_id': 'user_180', 'amount': np.float64(2.9)}]",5.0,USD,Electronics Store VWX,healthcare,2025-05-07T09:13:00,2,0
exp_3229,group_70,user_284,"[{'user_id': 'user_284', 'amount': np.float64(23.26)}, {'user_id': 'user_75', 'amount': np.float64(17.03)}]",40.29,USD,Taxi Service PQR,utilities,2025-05-06T21:22:00,2,0
exp_8478,group_81,user_548,"[{'user_id': 'user_548', 'amount': np.float64(20.72)}, {'user_id': 'user_430', 'amount': np.float64(22.14)}]",42.86,USD,Taxi Service PQR,entertainment,2025-07-06T11:40:00,2,0
exp_8262,group_95,user_202,"[{'user_id': 'user_202', 'amount': np.float64(3.79)}, {'user_id': 'user_759', 'amount': np.float64(2.87)}]",6.66,USD,Coffee Shop DEF,utilities,2025-05-07T21:37:00,2,0
exp_3462,group_24,user_458,"[{'user_id': 'user_458', 'amount': np.float64(5.49)}, {'user_id': 'user_203', 'amount': np.float64(8.13)}]",13.62,USD,Online Store GHI,utilities,2024-12-13T13:40:00,2,0
exp_9136,group_39,user_224,"[{'user_id': 'user_224', 'amount': np.float64(2.22)}, {'user_id': 'user_26', 'amount': np.float64(1.96)}, {'user_id': 'user_721', 'amount': np.float64(1.87)}]",6.05,USD,Hotel JKL,travel,2025-02-08T10:28:00,3,0
exp_1995,group_73,user_475,"[{'user_id': 'user_475', 'amount': np.float64(9.01)}, {'user_id': 'user_201', 'amount': np.float64(6.15)}, {'user_id': 'user_528', 'amount': np.float64(7.13)}]",22.29,USD,Pharmacy STU,entertainment,2024-10-06T10:20:00,3,0
exp_3286,group_8,user_573,"[{'user_id': 'user_573', 'amount': np.float64(4.69)}, {'user_id': 'user_647', 'amount': np.float64(3.8)}]",8.49,USD,Restaurant ABC,shopping,2025-04-21T12:35:00,2,0
exp_3463,group_36,user_126,"[{'user_id': 'user_126', 'amount': np.float64(3.49)}, {'user_id': 'user_827', 'amount': np.float64(3.45)}, {'user_id': 'user_962', 'amount': np.float64(4.29)}]",11.23,GBP,Pharmacy STU,entertainment,2024-10-22T13:41:00,3,0
exp_8498,group_47,user_401,"[{'user_id': 'user_401', 'amount': np.float64(1.92)}, {'user_id': 'user_653', 'amount': np.float64(1.58)}, {'user_id': 'user_927', 'amount': np.float64(1.74)}]",5.24,USD,Coffee Shop DEF,travel,2024-10-15T21:33:00,3,0
exp_7617,group_12,user_281,"[{'user_id': 'user_281', 'amount': np.float64(4.61)}, {'user_id': 'user_237', 'amount': np.float64(4.31)}]",8.92,EUR,Clothing Store YZ,shopping,2025-09-23T12:06:00,2,0
exp_7675,group_83,user_209,"[{'user_id': 'user_209', 'amount': np.float64(19.49)}, {'user_id': 'user_556', 'amount': np.float64(14.06)}, {'user_id': 'user_808', 'amount': np.float64(19.02)}]",52.57,USD,Restaurant ABC,shopping,2025-09-18T17:50:00,3,0
exp_6028,group_77,user_130,"[{'user_id': 'user_130', 'amount': np.float64(5.08)}, {'user_id': 'user_359', 'amount': np.float64(5.22)}]",10.3,EUR,Online Store GHI,groceries,2025-04-20T16:11:00,2,0
exp_7190,group_82,user_495,"[{'user_id': 'user_495', 'amount': np.float64(2.51)}, {'user_id': 'user_366', 'amount': np.float64(4.13)}, {'user_id': 'user_472', 'amount': np.float64(4.05)}]",10.69,GBP,Hotel JKL,shopping,2024-12-23T12:43:00,3,0
exp_8589,group_37,user_946,"[{'user_id': 'user_946', 'amount': np.float64(36.04)}, {'user_id': 'user_623', 'amount': np.float64(38.62)}]",74.66,USD,Airline MNO,utilities,2025-05-30T15:14:00,2,0
exp_5136,group_89,user_736,"[{'user_id': 'user_736', 'amount': np.float64(9.89)}, {'user_id': 'user_892', 'amount': np.float64(13.29)}]",23.18,GBP,Electronics Store VWX,transport,2025-06-08T13:40:00,2,0
exp_4958,group_96,user_917,"[{'user_id': 'user_917', 'amount': np.float64(3.23)}, {'user_id': 'user_27', 'amount': np.float64(4.24)}]",7.47,AUD,Restaurant ABC,utilities,2025-04-02T11:35:00,2,0
exp_7093,group_51,user_829,"[{'user_id': 'user_829', 'amount': np.float64(24.59)}, {'user_id': 'user_669', 'amount': np.float64(34.28)}]",58.87,GBP,Clothing Store YZ,accommodation,2024-12-09T17:04:00,2,0
exp_3035,group_61,user_79,"[{'user_id': 'user_79', 'amount': np.float64(12.5)}, {'user_id': 'user_597', 'amount': np.float64(10.12)}, {'user_id': 'user_756', 'amount': np.float64(12.81)}, {'user_id': 'user_101', 'amount': np.float64(13.7)}]",49.13,USD,Restaurant ABC,entertainment,2025-06-18T14:30:00,4,0
exp_6293,group_77,user_87,"[{'user_id': 'user_87', 'amount': np.float64(2.35)}, {'user_id': 'user_821', 'amount': np.float64(2.65)}]",5.0,EUR,Hotel JKL,food,2025-01-18T15:06:00,2,0
exp_6488,group_23,user_394,"[{'user_id': 'user_394', 'amount': np.float64(28.03)}, {'user_id': 'user_146', 'amount': np.float64(28.12)}]",56.15,USD,Restaurant ABC,healthcare,2024-11-29T18:34:00,2,0
exp_1185,group_78,user_979,"[{'user_id': 'user_979', 'amount': np.float64(17.34)}, {'user_id': 'user_888', 'amount': np.float64(12.46)}]",29.8,USD,Electronics Store VWX,healthcare,2025-04-13T06:20:00,2,0
exp_516,group_33,user_965,"[{'user_id': 'user_965', 'amount': np.float64(2.42)}, {'user_id': 'user_133', 'amount': np.float64(2.58)}]",5.0,USD,Restaurant ABC,groceries,2024-10-15T17:27:00,2,0
exp_4749,group_31,user_111,"[{'user_id': 'user_111', 'amount': np.float64(26.57)}, {'user_id': 'user_577', 'amount': np.float64(18.31)}]",44.88,USD,Electronics Store VWX,transport,2025-01-24T13:24:00,2,0
exp_1062,group_57,user_83,"[{'user_id': 'user_83', 'amount': np.float64(12.27)}, {'user_id': 'user_56', 'amount': np.float64(14.06)}]",26.33,USD,Taxi Service PQR,food,2025-04-01T15:03:00,2,0
exp_2919,group_59,user_951,"[{'user_id': 'user_951', 'amount': np.float64(29.94)}, {'user_id': 'user_291', 'amount': np.float64(24.09)}]",54.03,USD,Pharmacy STU,food,2025-08-12T07:41:00,2,0
exp_1400,group_67,user_341,"[{'user_id': 'user_341', 'amount': np.float64(10.19)}, {'user_id': 'user_478', 'amount': np.float64(14.85)}]",25.04,GBP,Airline MNO,transport,2025-05-05T16:00:00,2,0
exp_8487,group_87,user_642,"[{'user_id': 'user_642', 'amount': np.float64(33.7)}, {'user_id': 'user_306', 'amount': np.float64(33.09)}]",66.79,USD,Pharmacy STU,entertainment,2024-10-24T16:47:00,2,0
exp_8310,group_48,user_23,"[{'user_id': 'user_23', 'amount': np.float64(2.72)}, {'user_id': 'user_757', 'amount': np.float64(2.28)}]",5.0,EUR,Clothing Store YZ,accommodation,2025-05-21T14:04:00,2,0
exp_3002,group_100,user_867,"[{'user_id': 'user_867', 'amount': np.float64(36.34)}, {'user_id': 'user_992', 'amount': np.float64(32.59)}]",68.93,EUR,Clothing Store YZ,food,2025-03-24T18:50:00,2,0
exp_5002,group_14,user_855,"[{'user_id': 'user_855', 'amount': np.float64(6.57)}, {'user_id': 'user_547', 'amount': np.float64(5.7)}]",12.27,USD,Grocery Store XYZ,shopping,2025-07-05T13:49:00,2,0
exp_3205,group_58,user_641,"[{'user_id': 'user_641', 'amount': np.float64(20.52)}, {'user_id': 'user_820', 'amount': np.float64(21.24)}]",41.76,USD,Grocery Store XYZ,entertainment,2025-08-12T14:55:00,2,0
exp_5880,group_85,user_566,"[{'user_id': 'user_566', 'amount': np.float64(4.92)}, {'user_id': 'user_673', 'amount': np.float64(5.36)}, {'user_id': 'user_634', 'amount': np.float64(3.99)}]",14.27,USD,Online Store GHI,business,2025-01-02T13:10:00,3,0
exp_7142,group_22,user_733,"[{'user_id': 'user_733', 'amount': np.float64(22.81)}, {'user_id': 'user_903', 'amount': np.float64(21.26)}, {'user_id': 'user_578', 'amount': np.float64(27.02)}]",71.09,EUR,Airline MNO,transport,2025-08-31T08:25:00,3,0
exp_5857,group_17,user_469,"[{'user_id': 'user_469', 'amount': np.float64(1.78)}, {'user_id': 'user_665', 'amount': np.float64(2.1)}, {'user_id': 'user_641', 'amount': np.float64(1.93)}]",5.81,USD,Online Store GHI,utilities,2025-04-13T12:04:00,3,0
exp_6401,group_19,user_59,"[{'user_id': 'user_59', 'amount': np.float64(5.91)}, {'user_id': 'user_256', 'amount': np.float64(5.33)}, {'user_id': 'user_530', 'amount': np.float64(5.9)}]",17.14,USD,Coffee Shop DEF,healthcare,2025-04-02T11:06:00,3,0
exp_4172,group_7,user_263,"[{'user_id': 'user_263', 'amount': np.float64(11.16)}, {'user_id': 'user_944', 'amount': np.float64(10.49)}, {'user_id': 'user_762', 'amount': np.float64(8.32)}]",29.97,USD,Electronics Store VWX,travel,2025-08-24T10:00:00,3,0
exp_2059,group_53,user_118,"[{'user_id': 'user_118', 'amount': np.float64(2.39)}, {'user_id': 'user_444', 'amount': np.float64(2.77)}]",5.16,USD,Gas Station 123,travel,2024-10-30T12:55:00,2,0
exp_5616,group_81,user_276,"[{'user_id': 'user_276', 'amount': np.float64(4.99)}, {'user_id': 'user_467', 'amount': np.float64(4.13)}, {'user_id': 'user_485', 'amount': np.float64(4.51)}]",13.63,USD,Electronics Store VWX,travel,2024-09-29T14:37:00,3,0
exp_6296,group_1,user_450,"[{'user_id': 'user_450', 'amount': np.float64(7.92)}, {'user_id': 'user_930', 'amount': np.float64(10.07)}, {'user_id': 'user_628', 'amount': np.float64(7.36)}]",25.35,AUD,Grocery Store XYZ,accommodation,2025-01-30T14:06:00,3,0
exp_8168,group_57,user_411,"[{'user_id': 'user_411', 'amount': np.float64(18.98)}, {'user_id': 'user_674', 'amount': np.float64(19.58)}]",38.56,USD,Hotel JKL,shopping,2025-04-21T01:18:00,2,0
exp_6602,group_72,user_149,"[{'user_id': 'user_149', 'amount': np.float64(2.22)}, {'user_id': 'user_794', 'amount': np.float64(2.74)}, {'user_id': 'user_495', 'amount': np.float64(2.32)}, {'user_id': 'user_684', 'amount': np.float64(2.5)}]",9.78,USD,Pharmacy STU,transport,2025-03-31T07:57:00,4,0
exp_5069,group_46,user_1000,"[{'user_id': 'user_1000', 'amount': np.float64(6.2)}, {'user_id': 'user_331', 'amount': np.float64(4.7)}]",10.9,USD,Pharmacy STU,healthcare,2024-11-03T00:13:00,2,0
exp_526,group_25,user_389,"[{'user_id': 'user_389', 'amount': np.float64(13.31)}, {'user_id': 'user_341', 'amount': np.float64(18.83)}, {'user_id': 'user_255', 'amount': np.float64(15.68)}]",47.82,USD,Electronics Store VWX,utilities,2025-08-06T07:49:00,3,0
exp_143,group_36,user_161,"[{'user_id': 'user_161', 'amount': np.float64(5.28)}, {'user_id': 'user_460', 'amount': np.float64(5.75)}]",11.03,USD,Grocery Store XYZ,groceries,2024-10-31T09:13:00,2,0
